feature,modality,auc,disc,p,neglog10p,cohens_d,nunique
meds_Acetaminophen_IV,meds,0.5087912087912088,0.5087912087912088,0.8698121848952116,0.06057451274830174,0.0350697980801911,2
meds_Albumin_25%_(12.5g_/_50mL),meds,0.5010989010989011,0.5010989010989011,0.9822773881261181,0.00776585323011077,0.005792150335723521,2
meds_Albuterol_0.083%_Neb_Soln,meds,0.510989010989011,0.510989010989011,0.8234921545247176,0.08434053403260398,0.04749038099183765,2
meds_Amiodarone,meds,0.521978021978022,0.521978021978022,0.6056449169702913,0.2177819233544846,0.10893539809368688,2
meds_Aspirin,meds,0.578021978021978,0.578021978021978,0.13898096134707152,0.8570446885819933,0.3130088488321021,2
meds_Atorvastatin,meds,0.6230769230769231,0.6230769230769231,0.006325750613085516,2.198887933744316,0.5934321417872751,2
meds_Bisacodyl,meds,0.5054945054945055,0.5054945054945055,0.9164030196911443,0.03791348841210283,0.02280904851513394,2
meds_Calcium_Gluconate,meds,0.44065934065934065,0.5593406593406594,0.25556009800158974,0.5925069539976318,-0.2396250076888606,2
meds_Calcium_Gluconate_sliding_scale_(Critical_Care-Ionized_calcium),meds,0.6032967032967032,0.6032967032967032,0.0438380572811721,1.3581487002071146,0.43030945271533655,2
meds_CefePIME,meds,0.5483516483516484,0.5483516483516484,0.3089252906129991,0.510146536101061,0.21434471135761274,2
meds_Docusate_Sodium,meds,0.4571428571428572,0.5428571428571428,0.33622287587604116,0.47337274143565455,-0.20258910453643106,2
meds_Famotidine,meds,0.3758241758241758,0.6241758241758242,0.01585767592141887,1.7997604619404202,-0.519617712964789,2
meds_Fentanyl_Citrate,meds,0.5,0.5,1.0,-0.0,0.0,2
meds_Furosemide,meds,0.5241758241758241,0.5241758241758241,0.6482293082869971,0.1882713371736509,0.09614218216730683,2
meds_Gabapentin,meds,0.5384615384615384,0.5384615384615384,0.3093761192370975,0.5095132125623847,0.2143973621410911,2
meds_HYDROmorphone_(Dilaudid),meds,0.5054945054945055,0.5054945054945055,0.919839938406109,0.03628773777912302,0.0218679538453703,2
meds_Heparin,meds,0.5263736263736263,0.5263736263736263,0.4449211881721373,0.35171691165557567,0.1611708224717953,2
meds_Heparin_Flush_(10_units/ml),meds,0.6021978021978021,0.6021978021978021,0.04906707362027528,1.3092098427418164,0.4197306028100277,2
meds_HydrALAzine,meds,0.5395604395604395,0.5395604395604395,0.4234327501669577,0.3732155547560645,0.16846146775504595,2
meds_Influenza_Vaccine_Quadrivalent,meds,0.48461538461538456,0.5153846153846154,0.7705668920968324,0.11318965466449353,-0.06174234435501596,2
meds_LORazepam,meds,0.5527472527472528,0.5527472527472528,0.17384354489545195,0.7598414307692328,0.28758945096733346,2
meds_Levothyroxine_Sodium,meds,0.610989010989011,0.610989010989011,0.0051270317917570946,2.2901339895730843,0.6097263625159632,2
meds_Lisinopril,meds,0.5285714285714286,0.5285714285714286,0.5159390850248133,0.2874015708519562,0.13685429109080405,2
meds_Lorazepam,meds,0.5087912087912088,0.5087912087912088,0.8654093384000403,0.06277842275674715,0.03626742195798547,2
meds_Magnesium_Sulfate,meds,0.5813186813186813,0.5813186813186813,0.11885325239779368,0.9249889293831026,0.33031341518652874,2
meds_Magnesium_Sulfate_Replacement_(Critical_Care_and_Oncology),meds,0.5703296703296703,0.5703296703296703,0.18286919413333458,0.7378594489507424,0.2812619174289048,2
meds_Metoprolol_Succinate_XL,meds,0.5604395604395604,0.5604395604395604,0.10943323564948672,0.9608507596562482,0.33958289395258767,2
meds_Metoprolol_Tartrate,meds,0.5461538461538462,0.5461538461538462,0.3816952197656196,0.41828327898832157,0.1840671779963975,2
meds_Milk_of_Magnesia,meds,0.423076923076923,0.576923076923077,0.11212749375160534,0.9502878849911696,-0.33669024917071727,2
meds_Morphine_Sulfate,meds,0.4461538461538461,0.5538461538461539,0.3078067801189127,0.5117218181114279,-0.21474504099579697,2
meds_Multivitamins,meds,0.510989010989011,0.510989010989011,0.8234921545247176,0.08434053403260398,0.04749038099183765,2
meds_Neutra-Phos,meds,0.47912087912087914,0.5208791208791208,0.6846343436158009,0.16454131894525725,-0.08569470225241342,2
meds_Ondansetron,meds,0.4978021978021978,0.5021978021978022,0.9683856427705588,0.013951658007404439,-0.009185958184678485,2
meds_OxyCODONE_(Immediate_Release),meds,0.5593406593406594,0.5593406593406594,0.14412090426917643,0.8412730216127398,0.3091849988931691,2
meds_OxycoDONE_(Immediate_Release)_,meds,0.4274725274725274,0.5725274725274726,0.1573755326264592,0.8030627870423608,-0.2988926724007665,2
meds_PHENYLEPHrine,meds,0.5010989010989011,0.5010989010989011,0.9862109548748861,0.006030177615782693,0.004506418572692878,2
meds_Pantoprazole,meds,0.521978021978022,0.521978021978022,0.6733482808517985,0.17176024435313678,0.0889045700901908,2
meds_Piperacillin-Tazobactam,meds,0.5153846153846153,0.5153846153846153,0.707916244564796,0.1500181217947458,0.07934208348448449,2
meds_Polyethylene_Glycol,meds,0.50989010989011,0.50989010989011,0.8452344830278065,0.0730227933480632,0.041652130136690585,2
meds_Potassium_Chloride,meds,0.5560439560439561,0.5560439560439561,0.25980576031374847,0.5853512241454323,0.2375214803696657,2
meds_Potassium_Chloride_Replacement_(Critical_Care_and_Oncology),meds,0.46593406593406583,0.5340659340659342,0.49447511677758016,0.30585555829954814,-0.14378335492912925,2
meds_Potassium_Chloride_Replacement_(Critical_Care_and_Oncology)_,meds,0.5571428571428572,0.5571428571428572,0.20584656279393954,0.6864563804133406,0.2670909575740713,2
meds_Propofol,meds,0.49670329670329666,0.5032967032967033,0.9534129858304734,0.020718937120419917,-0.013057149055800672,2
meds_Ranitidine,meds,0.5351648351648352,0.5351648351648352,0.4373797967972819,0.3591412815226597,0.16352456092713402,2
meds_Senna,meds,0.5307692307692308,0.5307692307692308,0.49717797575522693,0.3034881182038195,0.1429800179326863,2
meds_Sodium_Chloride_0.9%__Flush,meds,0.5153846153846153,0.5153846153846153,0.3038887693687823,0.5172853495787956,0.21877670777129793,2
meds_Torsemide,meds,0.512087912087912,0.512087912087912,0.6588514629477258,0.1812124853958566,0.09389615528612656,2
meds_Vancomycin,meds,0.5329670329670328,0.5329670329670328,0.534174650247357,0.2723167256724026,0.13080177555272415,2
meds_Warfarin,meds,0.4989010989010989,0.5010989010989011,0.9841806289467029,0.006925187182802261,-0.005170037676232961,2
dx_2724,dx,0.5441758241758241,0.5441758241758241,0.4170838054689735,0.37977667261401643,0.2514171677382037,3
dx_27800,dx,0.46945054945054954,0.5305494505494505,0.49759743015892166,0.30312187122455614,0.17358779119535442,3
dx_2859,dx,0.4964835164835164,0.5035164835164836,0.945772132169962,0.02421348691936151,0.2218886642440527,3
dx_3051,dx,0.3989010989010988,0.6010989010989012,0.037404714985556926,1.4270736501218437,-0.24028915545198704,3
dx_311,dx,0.5362637362637362,0.5362637362637362,0.4463749059454363,0.35030022830827917,0.45600117270516133,3
dx_4019,dx,0.5147252747252747,0.5147252747252747,0.7921804046057364,0.10117590451800773,0.0811615796268666,3
dx_40390,dx,0.5272527472527472,0.5272527472527472,0.5574944162153648,0.2537594780896662,0.4531199496566664,3
dx_41401,dx,0.4643956043956044,0.5356043956043957,0.47017443814127025,0.3277409857511919,0.05946848434972334,3
dx_42731,dx,0.4232967032967033,0.5767032967032967,0.1145671011335657,0.9409400756267864,-0.12408440512459329,3
dx_4280,dx,0.46175824175824176,0.5382417582417582,0.4024980010944026,0.39523627210561935,0.1161084335754776,3
dx_53081,dx,0.421978021978022,0.578021978021978,0.09589380261660703,1.0182094593192232,-0.1109134900301475,3
dx_5849,dx,0.49516483516483517,0.5048351648351648,0.92131547146173,0.03559163575788174,0.2609287661861391,3
